Nov 28 10:44:27.757 INFO: manager: 2.0.0
Nov 28 10:57:38.418 INFO: ManagerServant: Master manager not found
Nov 28 10:57:48.428 INFO: ManagerServant: Master manager not found
Nov 28 10:57:58.439 INFO: ManagerServant: Master manager not found
Nov 28 10:58:08.448 INFO: ManagerServant: Master manager not found
Nov 28 10:58:18.456 INFO: ManagerServant: Master manager not found
Nov 28 10:58:28.463 INFO: ManagerServant: Master manager not found
Nov 28 10:58:38.470 INFO: ManagerServant: Master manager not found
Nov 28 10:58:48.477 INFO: ManagerServant: Master manager not found
Nov 28 10:58:58.484 INFO: ManagerServant: Master manager not found
Nov 28 10:59:08.491 INFO: ManagerServant: Master manager not found
Nov 28 10:59:18.497 INFO: ManagerServant: Master manager not found
Nov 28 10:59:28.503 INFO: ManagerServant: Master manager not found
Nov 28 10:59:38.511 INFO: ManagerServant: Master manager not found
Nov 28 10:59:48.519 INFO: ManagerServant: Master manager not found
Nov 28 10:59:58.526 INFO: ManagerServant: Master manager not found
Nov 28 11:00:08.532 INFO: ManagerServant: Master manager not found
Nov 28 11:00:18.539 INFO: ManagerServant: Master manager not found
Nov 28 11:00:28.545 INFO: ManagerServant: Master manager not found
Nov 28 11:00:38.551 INFO: ManagerServant: Master manager not found
Nov 28 11:00:48.558 INFO: ManagerServant: Master manager not found
Nov 28 11:00:58.564 INFO: ManagerServant: Master manager not found
Nov 28 11:01:08.571 INFO: ManagerServant: Master manager not found
Nov 28 11:01:18.577 INFO: ManagerServant: Master manager not found
Nov 28 11:01:28.584 INFO: ManagerServant: Master manager not found
Nov 28 11:01:38.591 INFO: ManagerServant: Master manager not found
Nov 28 11:01:48.598 INFO: ManagerServant: Master manager not found
Nov 28 11:01:58.604 INFO: ManagerServant: Master manager not found
Nov 28 11:02:08.610 INFO: ManagerServant: Master manager not found
Nov 28 11:02:18.615 INFO: ManagerServant: Master manager not found
Nov 28 11:02:28.621 INFO: ManagerServant: Master manager not found
Nov 28 11:02:38.628 INFO: ManagerServant: Master manager not found
Nov 28 11:02:48.634 INFO: ManagerServant: Master manager not found
Nov 28 11:02:58.640 INFO: ManagerServant: Master manager not found
Nov 28 11:03:08.645 INFO: ManagerServant: Master manager not found
Nov 28 11:03:18.651 INFO: ManagerServant: Master manager not found
Nov 28 11:03:28.657 INFO: ManagerServant: Master manager not found
Nov 28 11:03:38.663 INFO: ManagerServant: Master manager not found
Nov 28 11:03:48.669 INFO: ManagerServant: Master manager not found
Nov 28 11:03:58.675 INFO: ManagerServant: Master manager not found
Nov 28 11:04:08.682 INFO: ManagerServant: Master manager not found
Nov 28 11:04:18.688 INFO: ManagerServant: Master manager not found
